"cbs_buurtnummer","postcode","buurtnaam","wijknaam","wijknummer","leeftijd_tot15","leeftijd_15.65","leeftijd_van65","autochtoon","allochtoon_w","allochtoon_nw","aanwezigheid_binnensport","aanwezigheid_sportveld","aanwezigheid_basisscholen","aanwezigheid_middelbarescholen","aanwezigheid_ov","aanwezigheid_parkeergelegenheid","aanwezigheid_eigenparkeerpl","aantal_basisscholen","aantal_vmboschool","aantal_hav.vwoschool","norm_bushalte","norm_metrostation","norm_tramhalte","aantal_bushaltes","aantal_metrostations","aantal_tramhaltes","veiligheidsindex_sub","veiligheidsindex_ob","aantal_bushaltes_norm","veiligheidsindex_ob_norm","veiligheidsindex_sub_norm","aantal_tramhaltes_norm","aantal_metrostations_norm","aantal_basisscholen_norm","aantal_vmboschool_norm","aantal_hav.vwoschool_norm","lat","long","internetsnelheid","wozwaarde","internetsnelheid_norm","wozwaarde_norm","leeftijd_tot15_norm","leeftijd_15.65_norm","leeftijd_van65_norm","allochtoon_w_norm","allochtoon_nw_norm","aanwezigheid_binnensport_norm","aanwezigheid_sportveld_norm","aanwezigheid_basisscholen_norm","aanwezigheid_middelbarescholen_norm","aanwezigheid_ov_norm","aanwezigheid_parkeergelegenheid_norm","aanwezigheid_eigenparkeerpl_norm","autochtoon_norm"
"BU05990452",3124,"NoordKethel","Overschie",3006,23,62,16,83,7,10,26,65,61,33,47,86,55,0,0,0.1,50,30,40,0.5,0.4,3.3,137,91,1,5,8,1,1,0,0,0,51.9529163,4.3951036,500,156000,10,3,7,4,3,0,1,2,6,6,4,1,9,8,9
"BU05990454",3046,"Schieveen","Overschie",3006,23,62,16,83,7,10,26,65,61,33,47,86,55,0,0,0.1,50,30,40,0.5,0.4,3.3,137,91,1,5,8,1,1,0,0,0,51.9651323932704,4.41736221313476,500,156000,10,3,7,4,3,0,1,2,6,6,4,1,9,8,9
"BU05990455",3045,"Zestienhoven","Overschie",3006,23,62,16,83,7,10,26,65,61,33,47,86,55,0,0,0.1,50,30,40,0.5,0.4,3.3,137,91,1,5,8,1,1,0,0,0,51.9466986001592,4.4465446472168,300,156000,6,3,7,4,3,0,1,2,6,6,4,1,9,8,9
"BU05990456",3043,"Overschie","Overschie",56,17,67,16,75,10,15,75,62,71,21,69,35,10,0.7,0.5,0,70,0,10,1.6,0,0.2,117,117,4,8,5,0,0,2,1,0,51.9417252031416,4.42367076873779,100,118000,2,2,5,5,3,2,2,8,6,8,3,5,2,1,8
"BU05990515",3032,"Agniesebuurt","Noord",15,14,75,11,32,12,56,58,25,56,50,96,46,10,1.1,5.2,4,80,100,100,2.2,3.6,43.7,83,74,6,4,2,9,5,3,9,6,51.9293107,4.4765548,300,153000,6,3,4,7,2,3,7,6,1,6,7,9,3,1,2
"BU05990516",3033,"Provenierswijk","Noord",16,12,77,10,43,14,44,52,31,55,54,94,45,4,0.9,5.8,6.9,20,100,100,0.2,4.2,45.1,94,101,1,6,3,9,6,3,10,10,51.9269222,4.4696749,500,153000,10,3,3,7,1,4,5,5,2,5,7,9,3,0,4
"BU05990531",3038,"Bergpolder","Noord",31,11,83,7,57,15,28,74,39,62,38,89,35,2,1,3.7,2.7,40,100,100,0.6,2.4,30,127,113,2,8,6,6,4,3,6,4,51.9356962,4.465404,200,174000,4,4,2,9,1,4,3,8,3,6,5,8,2,0,6
"BU05990532",3039,"Blijdorp","Noord",3011,13,75,13,72,15,14,74,69,66,54,83,42,6,1.2,3.8,6.1,70,100,100,1.6,2.8,30.5,143,106,4,7,8,6,4,3,7,9,51.9300567195104,4.45851802825928,300,156000,6,3,3,7,2,4,1,8,7,7,7,7,3,1,8
"BU05990534",3037,"Liskwartier","Noord",34,17,71,12,53,12,36,67,30,62,31,86,31,11,1.1,2.7,1.9,90,50,100,2.5,1,32.4,111,110,7,7,5,6,1,3,5,3,51.9378360457688,4.4743537902832,400,174000,8,4,5,6,2,3,4,7,2,6,4,8,1,1,5
"BU05990535",3036,"Oude Noorden","Noord",35,17,73,10,34,12,54,69,40,64,29,93,41,7,2.2,2.5,2.6,70,40,100,1.8,1.2,38,92,100,5,6,3,8,2,6,4,4,51.9344152,4.481676,500,174000,10,4,5,6,1,3,7,7,3,7,4,9,3,1,3
