"buurtnaam","cbs_buurtnummer","wijknaam","wijknummer","leeftijd_tot15","leeftijd_15.65","leeftijd_van65","autochtoon","allochtoon_w","allochtoon_nw","aanwezigheid_binnensport","aanwezigheid_sportveld","aanwezigheid_basisscholen","aanwezigheid_middelbarescholen","aanwezigheid_ov","aanwezigheid_parkeergelegenheid","aanwezigheid_eigenparkeerpl","aantal_basisscholen","aantal_vmboschool","aantal_hav.vwoschool","norm_bushalte","norm_metrostation","norm_tramhalte","aantal_bushaltes","aantal_metrostations","aantal_tramhaltes","veiligheidsindex_sub","veiligheidsindex_ob","aantal_bushaltes_norm","veiligheidsindex_ob_norm","veiligheidsindex_sub_norm","aantal_tramhaltes_norm","aantal_metrostations_norm","aantal_basisscholen_norm","aantal_vmboschool_norm","aantal_hav.vwoschool_norm","lat","long","postcode","internetsnelheid"
"Dijkzigt","BU05990119","Rotterdam Centrum",3003,"6%","83%","11%","58%","17%","25%","14%","19%","24%","16%","97%","65%","41%","0,1","0,5","1,2","1%","100%","100%","0","4,6","38,6",145,78,0,3,8,8,7,0,1,2,51.9116278,4.4712699,3015,
"Dorp","BU05991702","Hoek van Holland",3001,"14%","62%","25%","86%","8%","5%","58%","87%","92%","6%","77%","70%","15%","0,5","0","0","85%","91%","0%","2","0,9","0",144,136,6,9,8,0,1,2,0,0,51.9773468859599,4.13884162902832,3012,
"Feijenoord","BU05991087","Feijenoord",87,"21%","67%","12%","17%","7%","76%","40%","38%","85%","40%","83%","49%","3%","1","0","0,2","91%","71%","100%","3,1","1,1","23,9",76,97,9,5,1,5,2,4,0,0,51.9105760287813,4.50853586196899,3071,
"Groot IJsselmonde-Noord","BU05991289","IJsselmonde",1009,"16%","57%","27%","59%","9%","32%","72%","57%","70%","47%","90%","58%","16%","0,5","1,9","0,1","74%","0%","100%","1,1","0","17,7",87,116,3,7,3,4,0,2,3,0,51.8862876,4.5425145,3078,
"Heijplaat","BU05991593","Charlois",93,"13%","70%","17%","68%","10%","21%","24%","60%","68%","6%","73%","64%","10%","0,4","0","0","77%","0%","0%","1","0","0",143,131,3,9,8,0,0,2,0,0,51.8911663405496,4.42236185073853,3089,
"Het Lage Land","BU05991449","Prins Alexander",49,"13%","63%","24%","65%","11%","24%","59%","75%","75%","64%","91%","75%","13%","0,3","3,2","2,3","86%","82%","0%","1,3","2,2","0",131,117,4,7,7,0,3,1,6,4,51.9440267905227,4.5434045791626,3067,
"Hillegersberg-noord","BU05990662","Hillegersberg-Schiebroek",62,"17%","57%","26%","74%","13%","13%","45%","73%","79%","71%","87%","66%","35%","0,3","2,1","1,9","80%","1%","100%","1,5","0","13,7",140,119,4,8,8,3,0,1,4,3,51.9562734816938,4.48827981948853,3054,
"Hillegersberg-zuid","BU05990661","Hillegersberg-Schiebroek",61,"19%","71%","11%","77%","13%","10%","72%","63%","81%","64%","94%","28%","16%","0,7","0,1","1","71%","71%","100%","1","0,8","26,1",151,125,3,8,9,5,1,3,0,2,51.9433534,4.473134,3051,
"Hillesluis","BU05991082","Feijenoord",82,"20%","71%","8%","16%","10%","74%","28%","49%","80%","48%","97%","54%","18%","2,3","1,4","0,5","87%","44%","100%","1,9","0,7","23,4",73,91,5,5,1,5,1,10,2,1,51.8941095,4.5138783,3074,
"Hoogvliet-noord","BU05991692","Hoogvliet",92,"18%","69%","14%","54%","10%","37%","55%","52%","86%","61%","91%","65%","17%","0,7","0,5","0","81%","39%","0%","1,1","0,7","0",119,130,3,9,6,0,1,3,1,0,51.8707678675273,4.36060667037964,3193,
