wijknaam;wijknummer;buurtnaam;cbs_buurtnummer;leeftijd_tot15;leeftijd_15-65;leeftijd_van65;autochtoon;allochtoon_w;allochtoon_nw;aanwezigheid_binnensport;aanwezigheid_sportveld;aanwezigheid_basisscholen;aanwezigheid_middelbarescholen;aanwezigheid_ov;aanwezigheid_parkeergelegenheid;aanwezigheid_eigenparkeerpl;aantal_basisscholen;aantal_vmboschool;aantal_hav/vwoschool;norm_bushalte;norm_metrostation;norm_tramhalte;aantal_bushaltes;aantal_metrostations;aantal_tramhaltes;veiligheidsindex_sub;veiligheidsindex_ob
Overschie;51;Kleinpolder;BU05990451;17%;64%;19%;47%;10%;43%;62%;63%;78%;21%;78%;64%;18%;0.6;0;0;88%;1%;52%;1.5;0;0.9;109;113
Overschie;56;Overschie;BU05990456;17%;67%;16%;75%;10%;15%;53%;64%;79%;14%;74%;46%;17%;0.2;0;0;74%;4%;10%;1.6;0;0.2;108;124
Hillegersberg-Schiebroek;60;Schiebroek;BU05990660;20%;62%;18%;63%;10%;27%;77%;84%;86%;77%;97%;72%;17%;0.9;2.3;1.1;75%;87%;100%;1.5;1.4;14.7;107;113
Hillegersberg-Schiebroek;61;Hillegersberg-zuid;BU05990661;19%;71%;11%;77%;13%;10%;72%;63%;81%;64%;94%;28%;16%;0.7;0.1;1;71%;71%;100%;1;0.8;26.1;151;125
Hillegersberg-Schiebroek;62;Hillegersberg-noord;BU05990662;17%;57%;26%;74%;13%;13%;45%;73%;79%;71%;87%;66%;35%;0.3;2.1;1.9;80%;1%;100%;1.5;0;13.7;140;119
Prins Alexander;63;Ommoord;BU05991463;13%;56%;31%;72%;10%;18%;53%;64%;81%;45%;97%;75%;19%;0.5;0.3;0.5;62%;100%;3%;0.9;4;0;132;129
Hillegersberg-Schiebroek;64;Terbregge;BU05990664;23%;68%;9%;74%;11%;15%;22%;74%;80%;34%;53%;81%;35%;0.3;0;0;37%;19%;99%;0.5;0.2;4.9;143;139
Hillegersberg-Schiebroek;65;Molenlaankwartier;BU05990665;23%;53%;24%;80%;14%;6%;50%;80%;93%;74%;89%;68%;26%;0.6;0.8;1;64%;0%;100%;0.8;0;6.3;146;133
Prins Alexander;66;Zevenkamp;BU05991466;17%;69%;14%;60%;9%;31%;88%;82%;85%;45%;95%;63%;10%;0.7;0.4;0.6;44%;100%;0%;0.7;3.5;0;106;108
Prins Alexander;67;Oosterflank;BU05991467;15%;66%;20%;57%;11%;33%;48%;62%;76%;78%;97%;69%;26%;0.9;3.9;3.9;89%;100%;0%;1.6;3.2;0;96;102
Prins Alexander;68;Nesselande;BU05991468;30%;62%;8%;72%;8%;20%;50%;79%;90%;16%;95%;71%;41%;0.3;0;0;0%;99%;0%;0;1.2;0;135;138
Charlois;71;Tarwewijk;BU05991571;20%;74%;6%;22%;19%;59%;43%;45%;79%;45%;91%;55%;9%;1.5;1.4;1.3;12%;100%;100%;0.2;2.3;16.6;72;95
Charlois;72;Carnisse;BU05991572;17%;75%;9%;37%;23%;40%;51%;60%;77%;70%;96%;37%;3%;1;3.6;2.4;96%;100%;100%;2.3;1.2;9.6;71;92
Charlois;73;Zuidwijk;BU05991573;17%;63%;20%;47%;10%;43%;28%;85%;79%;66%;96%;67%;16%;0.6;1;1.3;59%;76%;100%;1;0.8;5.4;91;97
Charlois;74;Oud-Charlois;BU05991574;18%;71%;11%;40%;16%;45%;39%;53%;81%;66%;83%;42%;13%;1.2;3.7;1.8;81%;4%;100%;1.6;0;9.5;85;100
Charlois;75;Wielewaal;BU05991575;14%;63%;23%;73%;9%;19%;67%;46%;38%;28%;72%;91%;43%;0.2;3.8;1.6;62%;4%;100%;0.8;0;5.4;103;119
